chamber,code,name,party,district,sitting,first_session,last_session,roll_calls,committee_votes,page
House,K_K2,Kristin E. Kassner,Democrat,2nd Essex,yes,193,194,429,549,house/members/K_K2.html
House,WFM1,William F. MacGregor,Democrat,10th Suffolk,yes,193,194,413,283,house/members/WFM1.html
House,JFM1,John Francis Moran,Democrat,9th Suffolk,yes,193,194,413,465,house/members/JFM1.html
House,JJM1,John J. Marsi,Republican,6th Worcester,yes,193,194,357,500,house/members/JJM1.html
House,MDS1,Mark D. Sylvia,Democrat,10th Bristol,yes,194,194,235,233,house/members/MDS1.html
House,J_T1,Joshua Tarsky,Democrat,13th Norfolk,yes,194,194,235,436,house/members/J_T1.html
House,TWM1,Thomas W. Moakley,Democrat,"Barnstable, Dukes and Nantucket",yes,194,194,235,186,house/members/TWM1.html
House,H_G1,Homar Gómez,Democrat,2nd Hampshire,yes,194,194,235,441,house/members/H_G1.html
House,MLB1,Michelle L. Badger,Democrat,1st Plymouth,yes,194,194,235,114,house/members/MLB1.html
House,RGW1,"Richard G. Wells, Jr.",Democrat,7th Norfolk,yes,194,194,235,448,house/members/RGW1.html
House,SJO1,Steven J. Ouellette,Democrat,8th Bristol,yes,194,194,235,49,house/members/SJO1.html
House,TTH1,Tara T. Hong,Democrat,18th Middlesex,yes,194,194,235,199,house/members/TTH1.html
House,BMP1,Bridget Plouffe,Democrat,9th Plymouth,yes,194,194,235,329,house/members/BMP1.html
House,MSC1,Michael S. Chaisson,Republican,1st Bristol,yes,194,194,235,658,house/members/MSC1.html
House,JRG2,John R. Gaskey,Republican,2nd Plymouth,yes,194,194,235,157,house/members/JRG2.html
House,LSD1,Leigh Davis,Democrat,3rd Berkshire,yes,194,194,235,172,house/members/LSD1.html
House,S_R1,Sean Reid,Democrat,11th Essex,yes,194,194,235,292,house/members/S_R1.html
House,AMS3,Amy Mah Sangiolo,Democrat,11th Middlesex,yes,194,194,235,342,house/members/AMS3.html
House,KPS1,Kenneth P. Sweezey,Republican,6th Plymouth,yes,194,194,235,327,house/members/KPS1.html
House,J_T2,Justin Thurber,Republican,5th Bristol,yes,194,194,235,291,house/members/J_T2.html
House,H_L1,Hadley Luddy,Democrat,4th Barnstable,yes,194,194,235,49,house/members/H_L1.html
House,G_S1,Greg Schwartz,Democrat,12th Middlesex,yes,194,194,235,41,house/members/G_S1.html
House,BFR1,Brandy Fluker-Reid,Democrat,12th Suffolk,yes,194,194,235,77,house/members/BFR1.html
House,DCG2,Dennis C. Gallagher,Democrat,8th Plymouth,yes,194,194,235,255,house/members/DCG2.html
House,HLB1,Hannah Bowen,Democrat,6th Essex,yes,194,194,187,547,house/members/HLB1.html
House,LMF1,Lisa Field,Democrat,3rd Bristol,yes,194,194,173,130,house/members/LMF1.html
House,AFT1,Andrew Tarr,Democrat,5th Essex,yes,194,194,79,0,house/members/AFT1.html
House,JVF1,John V. Fernandes,Democrat,10th Worcester,no,189,189,1,38,house/members/JVF1.html
House,GJB1,Garrett J. Bradley,Democrat,3rd Plymouth,no,189,189,1,0,house/members/GJB1.html
House,GLF1,Gloria L. Fox,Democrat,7th Suffolk,no,189,189,1,1,house/members/GLF1.html
House,PRH1,Paul R. Heroux,Democrat,2nd Bristol,no,189,189,1,108,house/members/PRH1.html
House,GMC1,Gailanne M. Cariddi,Democrat,1st Berkshire,no,189,189,1,56,house/members/GMC1.html
House,DAR1,Dennis A. Rosa,Democrat,4th Worcester,no,189,189,1,0,house/members/DAR1.html
House,T_S1,Tom Sannicandro,Democrat,7th Middlesex,no,189,189,1,0,house/members/T_S1.html
House,E_S1,Ellen Story,Democrat,3rd Hampshire,no,189,189,1,0,house/members/E_S1.html
House,BSD1,Brian S. Dempsey,Democrat,3rd Essex,no,189,189,1,0,house/members/BSD1.html
House,TRM1,Timothy R. Madden,Democrat,"Barnstable, Dukes and Nantucket",no,189,189,1,31,house/members/TRM1.html
House,B_S1,Benjamin Swan,Democrat,11th Hampden,no,189,189,1,0,house/members/B_S1.html
House,WFT1,Walter F. Timilty,Democrat,7th Norfolk,no,189,189,1,34,house/members/WFT1.html
House,TJT1,"Timothy J. Toomey, Jr.",Democrat,26th Middlesex,no,189,189,1,38,house/members/TJT1.html
House,BRM1,Brian R. Mannal,Democrat,2nd Barnstable,no,189,189,1,7,house/members/BRM1.html
Senate,MJB0,Michael J. Barrett,Democrat,Third Middlesex,yes,188,194,2931,581,senate/members/MJB0.html
Senate,SMB0,Stephen M. Brewer,Democrat,"Worcester, Hampden, Hampshire and Middlesex",no,188,188,482,0,senate/members/SMB0.html
Senate,WNB0,William N. Brownsberger,Democrat,Second Suffolk and Middlesex,yes,188,194,2968,606,senate/members/WNB0.html
Senate,GDC0,Gale D. Candaras,Democrat,First Hampden and Hampshire,no,188,188,485,33,senate/members/GDC0.html
Senate,HLC0,Harriette L. Chandler,Democrat,First Worcester,no,188,192,2452,1,senate/members/HLC0.html
Senate,SCD0,Sonia Chang-Diaz,Democrat,Second Suffolk,no,188,192,2443,679,senate/members/SCD0.html
Senate,KMC0,Katherine M. Clark,Democrat,Fifth Middlesex,no,188,188,228,0,senate/members/KMC0.html
Senate,CSC0,Cynthia S. Creem,Democrat,First Middlesex and Norfolk,yes,188,194,2934,83,senate/members/CSC0.html
Senate,SND0,Sal N. DiDomenico,Democrat,Middlesex and Suffolk,yes,188,194,2942,659,senate/members/SND0.html
Senate,KJD0,Kenneth J. Donnelly,Democrat,Fourth Middlesex,no,188,190,1165,173,senate/members/KJD0.html
Senate,EMD0,Eileen M. Donoghue,Democrat,First Middlesex,no,188,190,1506,312,senate/members/EMD0.html
Senate,BBD0,Benjamin B. Downing,Democrat,"Berkshire, Hampshire, Franklin and Hampden",no,188,189,1157,211,senate/members/BBD0.html
Senate,JBE0,James B. Eldridge,Democrat,Middlesex and Worcester,yes,188,194,2942,1082,senate/members/JBE0.html
Senate,BRF0,Barry R. Finegold,Democrat,Second Essex and Middlesex,yes,188,194,1696,331,senate/members/BRF0.html
Senate,JLF0,Jennifer L. Flanagan,Democrat,Worcester and Middlesex,no,188,190,1230,98,senate/members/JLF0.html
Senate,JAH0,"John Hart, Jr.",Democrat,First Suffolk,no,188,188,9,0,senate/members/JAH0.html
Senate,RLH0,Robert L. Hedlund,Republican,Plymouth and Norfolk,no,188,189,691,113,senate/members/RLH0.html
Senate,PDJ0,Patricia D. Jehlen,Democrat,Second Middlesex,yes,188,194,2940,1112,senate/members/PDJ0.html
Senate,BAJ0,Brian A. Joyce,Democrat,"Norfolk, Bristol and Plymouth",no,188,189,1152,2,senate/members/BAJ0.html
Senate,JFK0,John F. Keenan,Democrat,Norfolk and Plymouth,yes,188,194,2933,1283,senate/members/JFK0.html
Senate,TPK0,Thomas P. Kennedy,Democrat,Second Plymouth and Bristol,no,188,189,531,70,senate/members/TPK0.html
Senate,JBL0,Joan B.  Lovely,Democrat,Second Essex,yes,188,194,2942,811,senate/members/JBL0.html
Senate,MCM0,Mark C. Montigny,Democrat,Second Bristol and Plymouth,yes,188,194,2942,180,senate/members/MCM0.html
Senate,MOM0,Michael O. Moore,Democrat,Second Worcester,yes,188,194,2939,1148,senate/members/MOM0.html
Senate,RTM0,Richard T. Moore,Democrat,Worcester and Norfolk,no,188,188,476,0,senate/members/RTM0.html
Senate,KAO0,Kathleen O'Connor Ives,Democrat,First Essex,no,188,190,1721,435,senate/members/KAO0.html
Senate,MRP0,Marc R. Pacheco,Democrat,First Plymouth and Bristol,no,188,193,2684,85,senate/members/MRP0.html
Senate,AWP0,Anthony W. Petruccelli,Democrat,First Suffolk and Middlesex,no,188,189,707,55,senate/members/AWP0.html
Senate,MJR0,Michael J. Rodrigues,Democrat,First Bristol and Plymouth,yes,188,194,2936,395,senate/members/MJR0.html
Senate,SCR0,Stanley C. Rosenberg,Democrat,"Hampshire, Franklin and Worcester",no,188,190,702,0,senate/members/SCR0.html
Senate,RJR0,Richard J. Ross,Republican,"Norfolk, Bristol and Middlesex",no,188,190,1715,348,senate/members/RJR0.html
Senate,MFR0,Michael F. Rush,Democrat,Norfolk and Suffolk,yes,188,194,2933,1011,senate/members/MFR0.html
Senate,KES0,Karen E. Spilka,Democrat,Second Middlesex and Norfolk,yes,188,194,1907,317,senate/members/KES0.html
Senate,BET0,Bruce E. Tarr,Republican,First Essex and Middlesex,yes,188,194,2937,527,senate/members/BET0.html
Senate,JET0,James E. Timilty,Democrat,Bristol and Norfolk,no,188,190,1164,258,senate/members/JET0.html
Senate,JTW0,James T. Welch,Democrat,Hampden,no,188,191,2195,259,senate/members/JTW0.html
Senate,DAW0,Daniel A. Wolf,Democrat,Cape and Islands,no,188,189,1149,35,senate/members/DAW0.html
Senate,TMM0,Thomas M. McGee,Democrat,Third Essex,no,188,190,1471,284,senate/members/TMM0.html
Senate,T_M0,Therese Murray,Democrat,Plymouth and Barnstable,no,188,188,132,0,senate/members/T_M0.html
Senate,LDF0,Linda Dorcena Forry,Democrat,First Suffolk,no,188,190,1396,146,senate/members/LDF0.html
Senate,DFH0,"Donald F. Humason, Jr.",Republican,Second Hampden and Hampshire,no,188,191,1648,755,senate/members/DFH0.html
Senate,jml0,Jason M. Lewis,Democrat,Fifth Middlesex,yes,188,194,2660,909,senate/members/jml0.html
Senate,VMD0,Viriato M. deMacedo,Republican,Plymouth and Barnstable,no,189,191,1366,400,senate/members/VMD0.html
Senate,RCF0,Ryan C. Fattman,Republican,Worcester and Norfolk,yes,189,194,2456,713,senate/members/RCF0.html
Senate,AMG0,Anne M. Gobi,Democrat,"Worcester, Hampden, Hampshire and Middlesex",no,189,193,2019,222,senate/members/AMG0.html
Senate,EPL0,Eric P. Lesser,Democrat,First Hampden and Hampshire,no,189,192,1970,201,senate/members/EPL0.html
Senate,BAL0,Barbara A. L'Italien,Democrat,Second Essex and Middlesex,no,189,190,1239,56,senate/members/BAL0.html
Senate,MDB0,Michael D. Brady,Democrat,Second Plymouth and Bristol,yes,189,194,2260,772,senate/members/MDB0.html
Senate,JAB0,Joseph A. Boncore,Democrat,First Suffolk and Middlesex,no,189,192,1489,112,senate/members/JAB0.html
Senate,PMO,Patrick O'Connor,Republican,Plymouth and Norfolk,yes,189,194,2160,969,senate/members/PMO.html
Senate,JAC0,Julian Cyr,Democrat,Cape and Islands,yes,190,194,1779,533,senate/members/JAC0.html
Senate,AGH0,Adam G. Hinds,Democrat,"Berkshire, Hampshire, Franklin and Hampden",no,190,192,1298,284,senate/members/AGH0.html
Senate,WFT0,Walter F. Timilty,Democrat,"Norfolk, Bristol and Plymouth",no,190,193,1547,26,senate/members/WFT0.html
Senate,CFF0,Cindy F. Friedman,Democrat,Fourth Middlesex,yes,190,194,1715,456,senate/members/CFF0.html
Senate,PRF0,Paul R. Feeney,Democrat,Bristol and Norfolk,yes,190,194,1555,656,senate/members/PRF0.html
Senate,DAT0,Dean A. Tran,Republican,Worcester and Middlesex,no,190,191,726,69,senate/members/DAT0.html
Senate,BPC1,Brendan P. Crighton,Democrat,Third Essex,no,190,190,9,0,senate/members/BPC1.html
Senate,BPC0,Brendan P. Crighton,Democrat,Third Essex,yes,190,194,1451,369,senate/members/BPC0.html
Senate,N_C0,Nick Collins,Democrat,First Suffolk,yes,190,194,1405,423,senate/members/N_C0.html
